,sucursales,total_supervisiones,operativas,seguridad
TEPEYAC,7,48,24,24
OGAS,8,64,32,32
EPL SO,1,8,4,4
EFM,3,24,12,12
TEC,4,28,14,14
EXPO,11,80,40,40
PLOG NUEVO LEON,6,46,23,23
PLOG LAGUNA,6,24,12,12
PLOG QUERETARO,4,16,8,8
GRUPO SALTILLO,6,34,17,17
OCHTER TAMPICO,4,16,8,8
GRUPO CANTERA ROSA (MORELIA),3,12,6,6
GRUPO MATAMOROS,5,18,9,9
GRUPO PIEDRAS NEGRAS,1,4,2,2
GRUPO CENTRITO,1,10,5,5
GRUPO SABINAS HIDALGO,1,8,4,4
CRR,3,12,6,6
RAP,3,12,6,6
GRUPO RIO BRAVO,1,4,2,2
GRUPO NUEVO LAREDO (RUELAS),2,8,4,4
