Grupo_Operativo,Total_Sucursales,Estados,Ciudades,Lat_Centro,Lon_Centro
CRR,3,Tamaulipas,1,26.067043,-98.312168
EFM,3,Nuevo León,2,25.703456,-100.223205
EPL SO,2,Nuevo León,2,25.82701,-100.30805
EXPO,12,"Nuevo León, Tamaulipas",8,26.026586,-99.966332
GRUPO CANTERA ROSA (MORELIA),3,Michoacán,1,19.691086,-101.194382
GRUPO CENTRITO,1,Nuevo León,1,25.65786,-100.365258
GRUPO MATAMOROS,5,Tamaulipas,1,25.855843,-97.503349
GRUPO NUEVO LAREDO (RUELAS),2,Tamaulipas,1,27.461136,-99.514334
GRUPO PIEDRAS NEGRAS,1,Coahuila,1,28.700335,-100.523293
GRUPO RIO BRAVO,1,Tamaulipas,1,25.984558,-98.090433
GRUPO SABINAS HIDALGO,1,Nuevo León,1,26.509347,-100.17482
GRUPO SALTILLO,6,Coahuila,2,25.70188,-101.054699
OCHTER TAMPICO,4,Tamaulipas,1,22.258547,-97.867295
OGAS,10,Nuevo León,3,25.753269,-100.320463
PLOG LAGUNA,6,"Coahuila, Durango",2,25.557665,-103.438419
PLOG NUEVO LEON,8,Nuevo León,4,25.713081,-100.255673
PLOG QUERETARO,4,Querétaro,2,20.596642,-100.403982
RAP,3,Tamaulipas,1,26.031624,-98.265706
TEC,4,"Nuevo León, Sinaloa",3,25.620778,-102.323037
TEPEYAC,7,Nuevo León,3,25.691461,-100.388632
